date,pm25,pm10
2020-01-01,96.3,47.0
2020-01-02,90.0,45.0
2020-01-03,90.0,51.0
2020-01-04,108.0,49.0
2020-01-05,111.0,37.0
2020-01-06,80.0,38.0
2020-01-07,76.0,47.0
2020-01-08,92.0,41.0
2020-01-09,81.0,45.0
2020-01-10,83.0,48.0
2020-01-11,99.0,60.0
2020-01-12,120.0,45.0
2020-01-13,88.0,40.0
2020-01-14,82.0,45.0
2020-01-15,96.0,47.0
2020-01-16,95.0,54.0
2020-01-17,118.0,47.0
2020-01-18,91.0,31.0
2020-01-19,69.0,42.0
2020-01-20,93.0,39.0
2020-01-21,92.0,42.0
2020-01-22,91.0,45.0
2020-01-23,100.0,43.0
2020-01-24,93.0,40.0
2020-01-25,90.0,28.0
2020-01-26,71.0,17.0
2020-01-27,52.0,20.0
2020-01-28,52.0,21.0
2020-01-29,53.0,28.0
2020-01-30,72.0,31.0
2020-01-31,78.0,35.0
2020-02-01,84.0,41.0
2020-02-02,89.0,44.0
2020-02-03,90.0,38.0
2020-02-04,77.0,33.0
2020-02-05,77.0,27.0
2020-02-06,65.0,34.0
2020-02-07,68.0,42.0
2020-02-08,85.0,20.0
2020-02-09,50.0,24.0
2020-02-10,62.0,35.0
2020-02-11,78.0,41.0
2020-02-12,87.0,51.0
2020-02-13,102.0,26.0
2020-02-14,66.0,27.0
2020-02-15,65.0,38.0
2020-02-16,81.0,14.0
2020-02-17,42.0,22.0
2020-02-18,50.0,23.0
2020-02-19,51.0,30.0
2020-02-20,58.0,30.0
2020-02-21,64.0,27.0
2020-02-22,58.0,37.0
2020-02-23,81.0,38.0
2020-02-24,72.0,50.0
2020-02-25,78.0,44.0
2020-02-26,80.0,44.0
2020-02-27,90.0,29.0
2020-02-28,67.0,32.0
2020-02-29,68.0,32.0
2020-03-01,71.0,39.0
2020-03-02,89.0,34.0
2020-03-03,74.0,34.0
2020-03-04,69.0,27.0
2020-03-05,67.0,19.0
2020-03-06,52.0,36.0
2020-03-07,78.0,51.0
2020-03-08,104.0,32.0
2020-03-09,79.0,32.0
2020-03-10,71.0,28.0
2020-03-11,60.0,31.0
2020-03-12,68.0,57.0
2020-03-13,105.0,59.0
2020-03-14,138.0,29.0
2020-03-15,73.0,43.0
2020-03-16,94.0,50.0
2020-03-17,84.0,51.0
2020-03-18,82.0,45.0
2020-03-19,89.0,32.0
2020-03-20,78.0,35.0
2020-03-21,85.0,50.0
2020-03-22,101.0,40.0
2020-03-23,92.0,33.0
2020-03-24,77.0,39.0
2020-03-25,77.0,33.0
2020-03-26,69.0,36.0
2020-03-27,85.0,35.0
2020-03-28,78.0,31.0
2020-03-29,74.0,25.0
2020-03-30,46.0,26.3
2020-03-31,51.7,27.7
2020-04-01,57.3,29.0
2020-04-02,63.0,32.0
2020-04-03,58.0,37.0
2020-04-04,80.0,19.0
2020-04-05,59.0,25.0
2020-04-06,65.0,22.0
2020-04-07,62.0,17.0
2020-04-08,50.0,30.0
2020-04-09,63.0,31.0
2020-04-10,61.0,37.0
2020-04-11,69.0,53.0
2020-04-12,92.0,24.0
2020-04-13,57.0,27.0
2020-04-14,62.0,40.0
2020-04-15,76.0,44.0
2020-04-16,85.0,39.0
2020-04-17,82.0,38.0
2020-04-18,73.0,41.0
2020-04-19,75.0,37.0
2020-04-20,74.0,28.0
2020-04-21,65.0,27.0
2020-04-22,63.0,21.0
2020-04-23,58.0,25.0
2020-04-24,59.0,28.0
2020-04-25,63.0,37.0
2020-04-26,85.0,68.0
2020-04-27,155.0,57.0
2020-04-28,122.0,45.0
2020-04-29,74.0,44.0
2020-04-30,73.0,42.0
2020-05-01,76.0,39.0
2020-05-02,74.0,33.0
2020-05-03,77.0,22.0
2020-05-04,55.0,20.0
2020-05-05,51.0,15.0
2020-05-06,41.0,20.0
2020-05-07,51.0,21.0
2020-05-08,52.0,20.0
2020-05-09,47.0,18.0
2020-05-10,43.0,25.0
2020-05-11,52.0,32.0
2020-05-12,64.0,39.0
2020-05-13,86.0,52.0
2020-05-14,118.0,44.0
2020-05-15,75.0,32.0
2020-05-16,66.0,26.0
2020-05-17,58.0,20.0
2020-05-18,51.0,20.0
2020-05-19,52.0,24.0
2020-05-20,56.0,28.0
2020-05-21,60.0,23.0
2020-05-22,56.0,27.0
2020-05-23,69.0,18.0
2020-05-24,48.0,16.0
2020-05-25,45.0,26.0
2020-05-26,63.0,30.0
2020-05-27,70.0,37.0
2020-05-28,82.0,37.0
2020-05-29,74.0,32.0
2020-05-30,71.0,22.0
2020-05-31,59.0,23.0
2020-06-01,56.0,17.0
2020-06-02,42.0,16.0
2020-06-03,42.0,15.0
2020-06-04,38.0,17.0
2020-06-05,44.0,16.0
2020-06-06,38.0,17.0
2020-06-07,45.0,18.0
2020-06-08,45.0,22.0
2020-06-09,50.0,22.0
2020-06-10,48.0,17.0
2020-06-11,42.0,17.0
2020-06-12,44.0,21.0
2020-06-13,54.0,24.0
2020-06-14,55.0,18.0
2020-06-15,44.0,21.0
2020-06-16,48.0,21.0
2020-06-17,48.0,16.0
2020-06-18,41.0,18.0
2020-06-19,44.0,13.0
2020-06-20,36.0,14.0
2020-06-21,41.0,13.0
2020-06-22,34.0,18.0
2020-06-23,41.0,19.0
2020-06-24,41.0,21.0
2020-06-25,48.0,17.0
2020-06-26,38.0,19.0
2020-06-27,44.0,20.0
2020-06-28,51.0,17.0
2020-06-29,48.0,17.0
2020-06-30,46.0,18.0
2020-07-01,45.0,12.0
2020-07-02,35.0,18.0
2020-07-03,42.0,21.0
2020-07-04,52.0,23.0
2020-07-05,54.0,15.0
2020-07-06,39.0,14.0
2020-07-07,36.0,14.0
2020-07-08,36.0,20.0
2020-07-09,46.0,21.0
2020-07-10,46.0,25.0
2020-07-11,53.0,27.0
2020-07-12,59.0,21.0
2020-07-13,54.0,18.0
2020-07-14,45.0,19.0
2020-07-15,49.0,13.0
2020-07-16,37.0,13.0
2020-07-17,33.0,14.0
2020-07-18,33.0,14.0
2020-07-19,36.0,14.0
2020-07-20,40.0,18.0
2020-07-21,47.0,24.0
2020-07-22,56.0,21.0
2020-07-23,50.0,20.0
2020-07-24,49.0,23.0
2020-07-25,39.0,18.0
2020-07-26,40.0,12.0
2020-07-27,35.0,14.0
2020-07-28,38.0,13.0
2020-07-29,33.0,18.0
2020-07-30,47.0,19.0
2020-07-31,43.0,19.0
2020-08-01,44.0,17.0
2020-08-02,39.0,13.0
2020-08-03,37.0,14.0
2020-08-04,50.0,18.0
2020-08-05,42.0,18.0
2020-08-06,43.0,19.0
2020-08-07,46.0,20.0
2020-08-08,44.0,18.0
2020-08-09,42.0,18.0
2020-08-10,45.0,21.0
2020-08-11,46.0,17.0
2020-08-12,43.0,17.0
2020-08-13,42.0,19.0
2020-08-14,49.0,18.0
2020-08-15,49.0,17.0
2020-08-16,46.0,16.0
2020-08-17,45.0,23.0
2020-08-18,60.0,17.0
2020-08-19,53.0,13.0
2020-08-20,44.0,25.0
2020-08-21,58.0,42.0
2020-08-22,93.0,45.0
2020-08-23,101.0,27.0
2020-08-24,69.0,22.0
2020-08-25,57.0,23.0
2020-08-26,54.0,22.0
2020-08-27,52.0,29.0
2020-08-28,71.0,37.0
2020-08-29,85.0,41.0
2020-08-30,92.0,45.0
2020-08-31,103.0,29.0
2020-09-01,69.0,44.0
2020-09-02,101.0,52.0
2020-09-03,123.0,58.0
2020-09-04,142.0,46.0
2020-09-05,110.0,31.0
2020-09-06,76.0,31.0
2020-09-07,74.0,23.0
2020-09-08,56.0,24.0
2020-09-09,60.0,27.0
2020-09-10,62.0,24.0
2020-09-11,59.0,20.0
2020-09-12,50.0,25.0
2020-09-13,62.0,26.0
2020-09-14,65.0,31.0
2020-09-15,73.0,24.0
2020-09-16,63.0,24.0
2020-09-17,56.0,22.0
2020-09-18,51.0,22.0
2020-09-19,48.0,22.0
2020-09-20,54.0,21.0
2020-09-21,51.0,20.0
2020-09-22,53.0,35.0
2020-09-23,70.0,33.0
2020-09-24,67.0,33.0
2020-09-25,75.0,35.0
2020-09-26,77.0,39.0
2020-09-27,79.0,34.0
2020-09-28,69.0,29.0
2020-09-29,71.0,30.0
2020-09-30,77.0,29.0
2020-10-01,70.0,28.0
2020-10-02,64.0,37.0
2020-10-03,74.0,36.0
2020-10-04,76.0,37.0
2020-10-05,82.0,34.0
2020-10-06,75.0,35.0
2020-10-07,77.0,32.0
2020-10-08,75.0,33.0
2020-10-09,77.0,40.0
2020-10-10,87.0,47.0
2020-10-11,95.0,44.0
2020-10-12,83.0,39.0
2020-10-13,76.0,19.0
2020-10-14,52.0,38.0
2020-10-15,70.0,38.0
2020-10-16,67.0,40.0
2020-10-17,74.0,39.0
2020-10-18,83.0,33.0
2020-10-19,75.0,39.0
2020-10-20,82.0,38.0
2020-10-21,84.0,39.0
2020-10-22,84.0,39.0
2020-10-23,81.0,39.0
2020-10-24,75.0,52.0
2020-10-25,90.0,51.0
2020-10-26,83.0,39.0
2020-10-27,72.0,35.0
2020-10-28,63.0,32.0
2020-10-29,67.0,40.0
2020-10-30,86.0,48.0
2020-10-31,105.0,46.0
2020-11-01,79.0,41.0
2020-11-02,77.0,47.0
2020-11-03,103.0,46.0
2020-11-04,103.0,53.0
2020-11-05,95.0,37.0
2020-11-06,66.0,53.0
2020-11-07,106.0,51.0
2020-11-08,111.0,50.0
2020-11-09,107.0,57.0
2020-11-10,100.0,61.0
2020-11-11,109.0,49.0
2020-11-12,81.0,47.0
2020-11-13,77.0,44.0
2020-11-14,86.0,44.0
2020-11-15,89.0,38.0
2020-11-16,81.0,41.0
2020-11-17,83.0,36.0
2020-11-18,69.0,33.0
2020-11-19,66.0,31.0
2020-11-20,75.0,25.0
2020-11-21,62.0,34.0
2020-11-22,75.0,29.0
2020-11-23,70.0,49.0
2020-11-24,84.0,47.0
2020-11-25,91.0,43.0
2020-11-26,83.0,45.0
2020-11-27,95.0,42.0
2020-11-28,85.0,40.0
2020-11-29,85.0,36.0
2020-11-30,78.0,38.0
2020-12-01,79.0,38.0
2020-12-02,80.0,43.0
2020-12-03,92.0,46.0
2020-12-04,96.0,43.0
2020-12-05,91.0,47.0
2020-12-06,109.0,50.0
2020-12-07,108.0,63.0
2020-12-08,138.0,57.0
2020-12-09,126.0,53.0
2020-12-10,123.0,51.0
2020-12-11,120.0,44.0
2020-12-12,88.0,56.0
2020-12-13,128.0,39.0
2020-12-14,85.0,48.0
2020-12-15,101.0,27.0
2020-12-16,62.0,36.0
2020-12-17,76.0,43.0
2020-12-18,87.0,46.0
2020-12-19,87.0,50.0
2020-12-20,89.0,55.0
2020-12-21,107.0,56.0
2020-12-22,125.0,50.0
2020-12-23,106.0,44.0
2020-12-24,91.0,51.0
2020-12-25,110.0,54.0
2020-12-26,110.0,49.0
2020-12-27,80.0,54.0
2020-12-28,107.0,45.0
2020-12-29,86.0,50.0
2020-12-30,104.0,57.0
2020-12-31,79.0,40.0
