date, pm25, pm10, o3, no2, so2, co
2021/2/2, 64, 45, 31, 41, 3, 6
2021/2/3, 87, 52, 31, 33, 2, 5
2021/2/4, 85, 52, 32, 33, 2, 4
2021/2/5, 81, 42, 28, 33, 2, 5
2021/2/6, 71, 46, 5, 53, 4, 6
2021/2/7, 93, 44, 33, 44, 2, 6
2021/2/8, 95, 47, 37, 29, 1, 6
2021/2/9, 97, 53, 38, 28, 1, 5
2021/2/10, 91, 21, 28, 28, 2, 4
2021/2/11, 48, 15, 8, 30, 2, 7
2021/2/12, 49, 26, 11, 33, 3, 6
2021/2/13, 67, 26, 24, 27, 2, 5
2021/2/14, 70, 31, 13, 41, 3, 6
2021/2/15, 73, 37, 19, 39, 3, 6
2021/2/16, 90, , , , , 
2021/1/5, 100, 57, 30, 50, 4, 6
2021/1/6, 120, 48, 30, 33, 2, 6
2021/1/7, 96, 57, 24, 34, 3, 6
2021/1/8, 126, 46, 12, 29, 3, 6
2021/1/9, 92, 39, 13, 31, 3, 5
2021/1/10, 65, 39, 15, 30, 4, 6
2021/1/11, 71, 43, 15, 31, 3, 5
2021/1/12, 77, 52, 21, 41, 5, 6
2021/1/13, 87, 45, 14, 51, 4, 6
2021/1/14, 74, 48, 18, 61, 4, 6
2021/1/15, 90, 47, 13, 64, 4, 7
2021/1/16, 91, 48, 32, 47, 3, 7
2021/1/17, 89, 81, 34, 36, 3, 6
2021/1/18, 139, 69, 24, 48, 4, 6
2021/1/19, 124, 55, 27, 35, 2, 6
2021/1/20, 91, 47, 35, 30, 2, 6
2021/1/21, 77, 46, 29, 35, 2, 6
2021/1/22, 87, 74, 5, 61, 5, 
2021/1/23, 154, 62, 4, 55, 4, 
2021/1/24, 140, 46, 35, 31, 1, 7
2021/1/25, 102, 49, 35, 40, 2, 7
2021/1/26, 98, 57, 32, 56, 3, 6
2021/1/27, 122, 56, 25, 38, 2, 6
2021/1/28, 118, 54, 25, 50, 2, 6
2021/1/29, 119, 40, 28, 34, 2, 7
2021/1/30, 75, 62, 34, 32, 1, 5
2021/1/31, 95, 39, 31, 25, 1, 4
2021/2/1, 67, 37, 22, 34, 2, 6
2020/10/2, 64, 37, 29, 33, 1, 5
2020/10/3, 74, 36, 28, 31, 1, 5
2020/10/4, 76, 37, 27, 44, 2, 5
2020/10/5, 82, 34, 25, 34, 2, 5
2020/10/6, 75, 35, 24, 34, 2, 6
2020/10/7, 77, 32, 10, 34, 3, 7
2020/10/8, 75, 33, 9, 36, 3, 6
2020/10/9, 77, 40, 15, 41, 2, 7
2020/10/10, 87, 47, 31, 35, 2, 5
2020/10/11, 95, 44, 44, 31, 2, 5
2020/10/12, 83, 39, 27, 37, 2, 5
2020/10/13, 76, 19, 35, 11, 1, 4
2020/10/14, 52, 38, 28, 29, 1, 5
2020/10/15, 70, 38, 29, 30, 1, 5
2020/10/16, 67, 40, 24, 35, 2, 6
2020/10/17, 74, 39, 20, 33, 2, 6
2020/10/18, 83, 33, 30, 27, 2, 6
2020/10/19, 75, 39, 15, 36, 2, 7
2020/10/20, 82, 38, 13, 45, 2, 7
2020/10/21, 84, 39, 14, 44, 2, 7
2020/10/22, 84, 39, 19, 40, 3, 6
2020/10/23, 81, 39, 20, 43, 3, 6
2020/10/24, 75, 52, 39, 42, 3, 6
2020/10/25, 90, 51, 35, 34, 2, 5
2020/10/26, 83, 39, 32, 30, 1, 5
2020/10/27, 72, 35, 24, 29, 1, 4
2020/10/28, 63, 32, 23, 27, 1, 4
2020/10/29, 67, 40, 20, 33, 2, 5
2020/10/30, 86, 48, 27, 36, 1, 6
2020/10/31, 105, 46, 32, 36, 1, 5
2020/11/1, 79, 41, 32, 40, 1, 5
2020/11/2, 77, 47, 23, 48, 3, 6
2020/11/3, 103, 46, 24, 45, 2, 7
2020/11/4, 103, 53, 34, 37, 2, 5
2020/11/5, 95, 37, 27, 33, 1, 4
2020/11/6, 66, 53, 22, 67, 3, 4
2020/11/7, 106, 51, 9, 61, 4, 7
2020/11/8, 111, 50, 28, 43, 3, 7
2020/11/9, 107, 57, 35, 45, 3, 6
2020/11/10, 100, 61, 32, 49, 4, 6
2020/11/11, 109, 49, 26, 40, 2, 5
2020/11/12, 81, 47, 25, 40, 2, 5
2020/11/13, 77, 44, 14, 46, 2, 5
2020/11/14, 86, 44, 13, 34, 2, 6
2020/11/15, 89, 38, 21, 27, 1, 5
2020/11/16, 81, 41, 20, 33, 2, 5
2020/11/17, 83, 36, 20, 27, 1, 4
2020/11/18, 69, 33, 20, 25, 1, 5
2020/11/19, 66, 31, 13, 28, 1, 5
2020/11/20, 75, 25, 13, 24, 1, 5
2020/11/21, 62, 34, 26, 24, 1, 6
2020/11/22, 75, 29, 27, 26, 1, 6
2020/11/23, 70, 49, 21, 28, 1, 6
2020/11/24, 84, 47, 26, 30, 1, 7
2020/11/25, 91, 43, 29, 33, 1, 6
2020/11/26, 83, 45, 33, 39, 2, 6
2020/11/27, 95, 42, 17, 43, 2, 6
2020/11/28, 85, 40, 9, 40, 2, 7
2020/11/29, 85, 36, 11, 37, 2, 7
2020/11/30, 78, 38, 9, 37, 2, 8
2020/12/1, 79, 38, 18, 34, 2, 7
2020/12/2, 80, 43, 12, 36, 2, 7
2020/12/3, 92, 46, 12, 35, 3, 7
2020/12/4, 96, 43, 10, 37, 3, 7
2020/12/5, 91, 47, 10, 40, 3, 7
2020/12/6, 109, 50, 19, 41, 3, 7
2020/12/7, 108, 63, 15, 61, 5, 7
2020/12/8, 138, 57, 14, 44, 4, 7
2020/12/9, 126, 53, 14, 33, 2, 7
2020/12/10, 123, 51, 24, 42, 3, 7
2020/12/11, 120, 44, 21, 34, 2, 5
2020/12/12, 88, 56, 26, 33, 1, 6
2020/12/13, 128, 39, 38, 26, 1, 5
2020/12/14, 85, 48, 30, 35, 2, 6
2020/12/15, 101, 27, 5, 29, 2, 7
2020/12/16, 62, 36, 4, 30, 2, 6
2020/12/17, 76, 43, 6, 31, 3, 6
2020/12/18, 87, 46, 5, 40, 3, 6
2020/12/19, 87, 50, 8, 36, 3, 6
2020/12/20, 89, 55, 15, 33, 2, 6
2020/12/21, 107, 56, 21, 43, 3, 6
2020/12/22, 125, 50, 15, 39, 3, 6
2020/12/23, 106, 44, 18, 36, 2, 6
2020/12/24, 91, 51, 8, 46, 3, 6
2020/12/25, 110, 54, 34, 27, 1, 6
2020/12/26, 110, 49, 29, 24, 1, 4
